date,price
2023-01-01,150.25
2023-01-02,152.30
2023-01-03,148.75
2023-01-04,151.20
2023-01-05,153.45
2023-01-06,155.10
2023-01-07,154.25
2023-01-08,153.90
2023-01-09,156.75
2023-01-10,158.20
2023-01-11,157.50
2023-01-12,159.35
2023-01-13,162.10
2023-01-14,160.75
2023-01-15,162.90
2023-01-16,165.25
2023-01-17,163.80
2023-01-18,166.45
2023-01-19,164.70
2023-01-20,167.30
2023-01-21,169.15
2023-01-22,170.50
2023-01-23,168.90
2023-01-24,171.25
2023-01-25,173.60
2023-01-26,172.10
2023-01-27,174.85
2023-01-28,176.30
2023-01-29,175.45
2023-01-30,177.80
2023-01-31,179.25
2023-02-01,178.10
2023-02-02,180.45
2023-02-03,182.75
2023-02-04,181.30
2023-02-05,183.90
2023-02-06,185.25
2023-02-07,183.70
2023-02-08,186.15
2023-02-09,187.80
2023-02-10,189.45
2023-02-11,188.10
2023-02-12,190.75
2023-02-13,192.30
2023-02-14,190.90
2023-02-15,193.50
2023-02-16,195.20
2023-02-17,194.15
2023-02-18,196.70
2023-02-19,198.25
2023-02-20,197.10
2023-02-21,199.45
2023-02-22,201.80
2023-02-23,200.35
2023-02-24,202.90
2023-02-25,204.15
2023-02-26,202.70
2023-02-27,205.30
2023-02-28,207.45
2023-03-01,205.90
2023-03-02,208.35
2023-03-03,210.70
2023-03-04,208.25
2023-03-05,211.90
2023-03-06,213.45
2023-03-07,211.80
2023-03-08,214.30
2023-03-09,216.75
2023-03-10,215.20
2023-03-11,217.85
2023-03-12,219.40
2023-03-13,217.95
2023-03-14,220.50
2023-03-15,222.10
2023-03-16,220.75
2023-03-17,223.40
2023-03-18,225.05
2023-03-19,223.60
2023-03-20,226.20
2023-03-21,228.55
2023-03-22,227.10
2023-03-23,229.70
2023-03-24,231.25
2023-03-25,229.80
2023-03-26,232.45
2023-03-27,234.10
2023-03-28,232.65
2023-03-29,235.30
2023-03-30,237.75
2023-03-31,236.20
2023-04-01,238.80
2023-04-02,240.35
2023-04-03,238.90
2023-04-04,241.50
2023-04-05,243.15
2023-04-06,241.70
2023-04-07,244.35
2023-04-08,246.00
2023-04-09,244.55
2023-04-10,247.15
2023-04-11,249.40
2023-04-12,247.95
2023-04-13,250.60
2023-04-14,252.25
2023-04-15,250.80
2023-04-16,253.45
2023-04-17,255.00
2023-04-18,253.65
2023-04-19,256.20
2023-04-20,258.75
2023-04-21,257.30
2023-04-22,259.90
2023-04-23,261.55
2023-04-24,260.10
2023-04-25,262.75
2023-04-26,264.30
2023-04-27,262.85
2023-04-28,265.50
2023-04-29,267.15
2023-04-30,265.70
2023-05-01,268.30
2023-05-02,270.85
2023-05-03,269.40
2023-05-04,271.95
2023-05-05,273.60
2023-05-06,272.15
2023-05-07,274.80
2023-05-08,276.35
2023-05-09,274.90
2023-05-10,277.55
2023-05-11,279.20
2023-05-12,277.75
2023-05-13,280.40
2023-05-14,282.05
2023-05-15,280.60
2023-05-16,283.15
2023-05-17,285.70
2023-05-18,284.25
2023-05-19,286.90
2023-05-20,288.45
2023-05-21,287.00
2023-05-22,289.65
2023-05-23,291.30
2023-05-24,289.85
2023-05-25,292.50
2023-05-26,294.15
2023-05-27,292.70
2023-05-28,295.35
2023-05-29,296.90
2023-05-30,295.45
2023-05-31,298.10
2023-06-01,300.75
2023-06-02,299.30
2023-06-03,301.85
2023-06-04,303.50
2023-06-05,302.05
2023-06-06,304.70
2023-06-07,306.25
2023-06-08,304.80
2023-06-09,307.45
2023-06-10,309.10
2023-06-11,307.65
2023-06-12,310.30
2023-06-13,311.85
2023-06-14,310.40
2023-06-15,313.05
2023-06-16,314.70
2023-06-17,313.25
2023-06-18,315.90
2023-06-19,317.45
2023-06-20,316.00
2023-06-21,318.65
2023-06-22,320.30
2023-06-23,318.85
2023-06-24,321.50
2023-06-25,323.15
2023-06-26,321.70
2023-06-27,324.35
2023-06-28,325.90
2023-06-29,324.45
2023-06-30,327.10
